con_Adelaide.xml
==============================
talk="p": 	Hey, Adelaide! How are you holding up?
talk="n": 	It's been rough. I can't believe we'd been robbed! I thought we chose a town with a low crime rate when we decided to buy a home in Nulato.
talk="p": 	And they managed to steal all the furniture too.
talk="n": 	Yeah! That stuff was worth a fortune. We're slowly buying it all back, but it's taking a while. And some things just can't be bought back...
talk="p": 	No! They didn't steal the good luck charm your father gave you, did they?
talk="n": 	The one day I forgot to bring it, was the day of the robbery. That charm was really important to me. The only memory I have of my father is him giving this to me before he left this planet.
talk="p": 	If I could, I would track them down and steal it back.
talk="n": 	Would you be able to pull that off? I mean, it was probably professional thieves if no one in town saw them.
talk="p": 	Adelaide, you're my best friend. I would tackle any obstacle to make you happy. Even if I have to become a professional thief.
talk="n": 	You go become a thief then.
talk="p": 	Do you know who the culprit is?
talk="n": 	I have no proof, but there are rumors of there being a large gang industry in Fujita. I've never been there myself; it's too sketchy of a place for me. But if anyone were to pull off stealing everything from my house, it's probably someone from there.
talk="p": 	Why don't you stay at my house for the time being? I'm sure my mother wouldn't mind.
talk="n": 	Oh, that's alright. I wouldn't want to intrude. Besides, I don't think you have enough room there. It can barely fit your whole family already.
talk="p": 	Wow, I make a generous offer and I am repaid in sass? What kind of world is this?
talk="n": 	Certainly not one you are from.
talk="p": 	So, the latest gossip...
talk="n": 	Well, you know how Brad was going out with Natasha, right? It turns out that Natasha was going out with Chad at the same time!
talk="p": 	How scandalous! It's just like Natasha, too. I swear, she...
talk="TIME": 	[A half an hour later...]
talk="p": 	...don't you DARE talk about Jessica like that! ...
talk="TIME": 	[Another half an hour later...]
talk="n": 	...and that's why I don't like those lemon cookies they sell at the mall.
talk="p": 	I see how it is. You traitor!
talk="p": 	...Wow, look at the time. I've got to get going.
talk="n": 	It was good talking with you!
talk="p": 	Guess what I've got?
talk="n": 	A membership into the gang industry?
talk="p": 	Actually, yes. Well, not anymore. I've done something to them they'll never forgive me for. But more importantly, I've found your charm.
talk="n": 	......Whoa. Whoa. WHOA! I can't believe you! You did something like that for me? Far out! You don't know how much this means to me.
talk="p": 	Whoa, don't cry. I'm happy to do anything for you, Adelaide.
talk="p": 	How much more furniture do you have to buy back?
talk="n": 	We're still missing some dressers, crates, and a table, which we should earn back in about a month or two.
talk="p": 	Do you eat on the floor?
talk="n": 	Yes.
